Company Name,Job Title,Job Description
Crosswire,Backend Software Engineer,"We are looking for talented software engineers to join our team as early engineers. You will be working alongside some of the brightest people in the industry to build the next generation of well-designed robust and scalable cloud security solution. Our team has a strong engineering culture and believes in delivering beautiful and functional experiences to our customers. The ideal candidate will have significant experience working in a fast-paced engineering-first organization. The current backend is written in Golang.
A security background is not required just a passion for revolutionizing current cloud security access management. While interest in security is always appreciated we will teach you the security domain knowledge you need during your onboarding.
Together we will redefine and transform the security industry.
What You'll Do
Tackle interesting algorithms problems to develop novel approaches to risk quantification and prediction
Design innovative methods for presenting our underlying information architecture to our clients
Contribute to the direction of the product and see your changes immediately impact the security of our clients
Help us further build and scale our engineering team as we grow"
Motive Companies,Junior Software Engineer,"Our client is seeking a junior Software Engineer with C/C++ skills who is energetic creative and team oriented to work on hub software and SATCOM products used in secure communications networks. The individual will be part of an engineering team that develops software using latest toolchains from Atlassian in an agile software development environment.
Responsibilities
Software design development integration and support activities
Actively participate in software development and automated unit testing
Complete development tasks within agreed timebox
Analyze and resolve software issues
Requirements
Bachelor's degree in Computer Science Computer Engineering or related field
1 - 3 years of software development experience in C/C++ and automated unit testing
1 - 3 years of experience with scripting languages Python/Shell source control systems (e.g. Git)
Must be able to obtain and hold a US government Security Clearance
Preferred Qualifications
Master's degree in Computer Science Computer Engineering or related field
Highly proficient in C/C++ programming
Good written and verbal communication skills
Proficient in Multi-threaded application development and inter-process communication
Hub software development (protocols messaging libraries socket programming etc.)
Ability to multi-task and work collaboratively within a team environment
Strong troubleshooting and problem-solving skills
Experience of agile development methodology especially Scrum and Atlassian tools like Jira"
Nike,Software Engineer II – NVS Web,"Nike Virtual Studios is looking for a front end engineer to drive our entry into the web3 Metaverse and NFT space focusing on creating virtual products experiences and marketplaces for Nike.
At Nike Virtual Studios you will partner with design product data science and marketing to create inclusive immersive and futuristic experiences. You will play a key role in helping shape the way our new technologies & interactions engage our members as well as untapped communities by providing them with ownership utility and agency.
The ideal candidate enjoys a creative and energetic environment filled with tinkerers explorers and authentic teammates. You have a proven track record of building interactive & engaging experiences. You will lead the foundation of an architecture that will scale be modular and be used across multiple areas of the organization. You believe in your craft beautiful interfaces and pushing the boundaries with new technologies.
WHO YOU'LL WORK WITH
Nike Virtual Studios believes in hiring collaborative curious kind diverse and smart people who are excited to push boundaries. Our team is based on authenticity vulnerability and acceptance. If you're excited about this role but your experience doesn't align perfectly with the points outlined in the job description we encourage you to apply anyways.
WHAT YOU BRING
Bachelor’s degree in Computer Science or Engineering Information Systems or similar field or relevant professional experience education and training
Have led the creation of a web based product from early stages to scale as a full stack developer
Have experience building features that involve real time multiplayer systems that are performant when it comes to data synchronization and UI updates
Enjoy collaborating with designers and product managers to plan the creation of a product and break down high level functionality into small goals and tasks and timelines
Have driven multiple features for a scaled product using modern full-stack web technologies
Enjoy building out custom interfaces that feel as though they are living and breathing via motion animation
Ability to work with technologies like Typescript React WebGL and Redux
Experience setting up production staging and test environments
Backend experience using Python and AWS
Have strong cross-functional collaboration communication leadership and project management skills
Have experience working with 3D models 3D interactions animations and WebGL"
Pacific Northwest National Laboratory,Software Engineer 1,"The successful candidate will have the opportunity to support the creation analysis and access to scientific data created from a premier ground-based observational user facility that advances atmospheric and climate research. The candidate will apply their software and data analysis techniques to support atmospheric research implementation of scientific models and algorithms to produce datasets for climate model development and evaluation. They will contribute to the design/development of tools to simplify access to and utilization of observational data be expected to work both independently and within a team to support software design/development activities including requirements analysis code development testing documentation and deployment support. The candidate will also support client interaction through efforts including written communications demonstrations and presentations about technical activities.
The incumbent will report directly to the Data Services (DS) Group Manager. The incumbent will also work with the stakeholders and infrastructure and user community. Regular attendance will be expected at software project meetings capability development meetings and group meetings. The incumbent will also be expected to attend and be an active participant in tool design or usability/requirements gathering meetings with customers and users.
The candidate will be required to communicate clearly and effectively with colleagues and clients. The candidate is also expected to have strong technical writing skills and be able to present complex ideas to public audiences at project reviews and conferences.
Responsibilities:
Designs develops documents tests and debugs new and existing software systems hardware/software interfaces and/or applications according to industry established software engineering principals and best practices. Works collaboratively within a team to execute on the full system development lifecycle including analyzing user needs to determine technical requirements; developing technical specifications based on conceptual design and requirements; developing well-crafted and documented source code; integrating hardware using software; automating manual tasks; and consulting with the end user to prototype configure refine test and debug programs or systems to meet needs. Identifies and evaluates new technologies or methods for implementation and continuous improvement.
Qualifications:
Minimum Qualifications:
BS/BA or higher
Preferred Qualifications:
The ability to work effectively independently and in project teams (required)
Creation and management of software documentation (required
Proficiency with fundamental front-end languages such as HTML CSS and JavaScript
Proficiency with modern UI tools and frameworks such as React Material UI
Proficiency with server-side languages such as Python and PHP
Familiarity with database technology such as PosgreSQL NoSQL and MongoDB
Excellent verbal communication skills
Good problem solving skills
Attention to detail
Seeing through a project from conception to finished product
Designing and developing APIs"
Hewlett Packard Enterprise,Early Career Networking Software Engineer,"This role designs develops troubleshoots and debugs software programs for software enhancements and new products. Develops software including operating systems compilers routers networks utilities databases and Internet-related tools. Determines hardware compatibility and/or influences hardware design.
Responsibilities:
Codes and programs enhancements updates and changes for portions and subsystems of systems software including operating systems compliers networking utilities databases and Internet-related tools
Executes established test plans and protocols for assigned portions of code; identifies logs and debugs assigned issues.
Develops understanding of and relationship with internal and outsourced development partners on software systems design and development.
Participates as a member of project team of other software systems engineers and internal and outsourced development partners to develop reliable cost effective and high quality solutions for low to moderately- complex products.
Education and Experience Required:
Bachelor's or Master's degree in Computer Science Information Systems or equivalent
Typically 0-2 years experience
Knowledge and Skills:
Experience or understanding of software systems design tools and languages.
Good analytical and problem solving skills.
Understanding of design for software systems running on multiple platform types
Understanding of basic testing coding and debugging procedures
Good written and verbal communication skills; mastery in English and local language."
Microsoft,Software Engineer,"As a member of our team you will lead design and code reviews across feature areas and participate in all stages of our engineering lifecycle. Developers in the team are expected demonstrate breadth depth and leadership. You will work with multiple partner teams and are expected to coordinate across many product lines.
This position is for someone who is:
Passionate about cryptography and engineering.
Enjoys the challenge of working on multiple products.
Looks to drive innovation within a product and become an industry leader.
Love new technological challenges and excels at solving them.
Excels at identifying bottlenecks and engineering solutions for performance sensitive scenarios.
Writes well-crafted well-tested readable and maintainable code.
Participates in code reviews to ensure code quality and distribute knowledge.
Shares knowledge by giving brown bags tech talks and evangelizing appropriate tech and engineering best practices.
Is comfortable working on cryptographic engineering include highly mathematical concepts and low level program development.
Enjoys working with open source technology.
Qualifications
Qualifications
Required/Minimum Qualifications
Bachelor's Degree in Computer Science or related technical discipline with proven experience coding in languages including but not limited to C C++ C#
OR equivalent experience
Preferred Qualifications
Knowledge about cryptographic algorithms and implementation for Operating Systems
Fantastic design coding problem solving and analytical skills
Bachelor's degree or higher in computer science/engineering/math or related discipline or equivalent work experience
Excellent communication skills both verbal and written
Ability to effectively collaborate across teams and ship production features in a fast-paced environment
Bachelor's Degree in Computer Science or related technical field AND 1+ year(s) technical engineering experience with coding in languages including but not limited to C C++ C# Java JavaScript or Python
OR Master's Degree in Computer Science or related technical field with proven experience coding in languages including but not limited to C C++ C# Java JavaScript or Python
OR equivalent experience."
Noteable,Software Engineer (Python),"Collaborate with our product team to determine feasible approaches for delivering new features to our customers.
Write and review code changes to our backend services that are built with FastAPI SQLAlchemy pytest and other popular Python tools.
Expand our product’s data connection support by helping implement new integrations with popular data stores.
Help operate and support our production environment during your regularly scheduled on-call rotation.
Propose and lead high-value high-effort initiatives to improve quality reliability or developer experience.
What do you know?
Python. You’re comfortable writing it and are familiar with its ecosystem.
How to build web applications. You understand the HTTP protocol. You might even know a thing or two about WebSockets.
RESTful API design principles and how to usher change to avoid unhappy consumers.
Distributed system design principles and how to build fault-tolerant systems.
Kubernetes. The basics are good enough.
Who are you?
You have 3+ years of professional engineering experience (not including internships)
You take pride in the code you write. You value clean elegant and efficient code and you encourage the same from your team.
You thrive in a culture of freedom and self-direction but also place great value on teamwork and supporting your peers.
You enjoy collaborating with others. You seek out diversity of thought and embrace feedback from your customers and colleagues.
You are biased toward action. You deliver results quickly with iteration instead of waiting for perfection and you actively solicit feedback.
You are intensely curious. You’re always learning something new or digging deeper to understand how something works.
You have a passion for quality and keen attention to detail. You don’t consider work done until it has been tested and documented.
You possess a positive attitude willingness to learn and desire to grow."
Shelter Insurance,Software Engineer (Remote Work Options),"Basic knowledge of object-oriented development and modern programming languages.
Bachelor’s Degree in Computer Science Computer Information Systems Computer Engineering Software Engineering Information Technology or a related degree or job-related experience.
Enthusiasm for software development and innovation.
Superior written oral and presentation skills with the ability to utilize video conferencing to collaborate with a team.
Responsible for highly accurate work and attention to detail.
Strong interpersonal skills with business and technical partners and external stakeholders.
Must be able to work independently.
Ability to perform essential functions of the position with or without a reasonable accommodation."
Crosswire,Frontend Software Engineer,"We are looking for a Software Engineer passionate about front-end web technologies to join our talented team. Our team has a strong engineering culture and believes in delivering beautiful and functional experiences to our customers. The ideal candidate will have significant experience working in a fast-paced engineering-first organization. The current frontend stack is written in Typescript React and Redux.
A security background is not required just a passion for revolutionizing current cloud security access management. While interest in security is always appreciated we will teach you the security domain knowledge you need during your onboarding.
Together we will redefine and transform the security industry.
What You'll Do
Design develop and test core product features to create a magical product experience
Work closely with product managers and product designers to understand feature requirements and advise on implementation timeline
Write tests for features to improve stability and maintainability and to prevent regressions in the product
Collaborate productively in a highly asynchronous (and international) environment
What You Have
Proficiency in typed JavaScript (TypeScript or Flow) and the React ecosystem
2+ years of full-time work experience working with web services
A love for cross-functional collaboration and asynchronous communication
Experience building atomic design systems from the ground-up
Passion for quality and a drive to improve processes by proposing standard methodologies and driving their usage within the team"
Candid Health,Software Engineer New Graduate,"You’ll conceptualize design build and maintain complex services/platforms/features and develop ownership over large swaths of our product + infrastructure.
You’ll interact closely with our current + prospective customers developing intuition around their biggest pain points and thinking of creative ways to address them.
You’ll play a critical role in shaping our engineering + broader company culture and help make this the best place we’ve ever worked.
Who you are
You are completing a Bachelor or Master of Science or Bachelor or Master of Art in Computer Science Computer Engineering Math or other similar degree.
You take pride in your craft and enjoy building high-quality software but also believe that “done is better than perfect” and have good intuition around which corners are worth cutting and which aren’t.
Experience with the technologies we currently use is a plus but by no means required: Python PostgreSQL Docker Kubernetes React Typescript Google Cloud Platform Auth0 Terraform.
You enjoy owning features end-to-end and are comfortable learning new tools or moving across the stack to do so.
You have a customer-first and learner’s mindset and value teaching others.
You’re a clear and concise communicator; you enjoy the challenge of explaining complicated ideas in simple terms both in-person and in writing."
Walmart,Software Engineer - Backend,"Develop technologically advanced solutions that make a large-scale impact and improve the end-user experience.
Operate with a startup mentality bringing new ideas to the table and inspiring those around you to do the same.
Identify areas of opportunity determining solution designs and provide guidance to system and process enhancements.
Translate requirements into technical solutions.
What you'll bring:
You're comfortable working in an Agile environment both collaboratively and independently.
You’ve built customizable reusable and dynamic frontend components using Java SQL and NoSQL Service Oriented architecture Cassandra Spring Boot Kotlin Scala Solr Kafka MemCache Big data frameworks – Hadoop Spark Hive Storm. Cloud technologies (GPC Azure) Open-Source technologies.
You build meaningful relationships.
You use your knowledge of computer science fundamentals (data structures algorithms and patterns) to create an outstanding user experience.
You align your work with meeting enterprise-goals.
The above information has been designed to indicate the general nature and level of work performed in the role. It is not designed to contain or be interpreted as a comprehensive inventory of all responsibilities and qualifications required of employees assigned to this job."
Whatscookin,Backend software engineer,"Develop backend software systems that power the app.
Improve system design and architecture to ensure high stability and performance of the services.
Collaborate with multiple cross-functional teams to deliver high-quality work in rapid product development.
Requirement
Minimum Qualifications
BS/MS Degree in Computer Science or related major with 2-5+ years working experience.
Experienced in building backend services for large-scale consumer-facing applications
Proficient in at least one of the following languages: Java Go Node.js C++ Python.
Deep understanding of computer architectures data structures and algorithms.
Have good team communication and collaboration skills."
CareerNet,Associate Software Engineer Entry Level,"Develop understanding of business processes goals and strategy
Meet with end users (e.g. clients internal customers etc.) to identify system requirements and analyze requirements to determine system functionality
Support the evaluation of current application or system architecture to determine areas that need improvement or expanded functionality
Assist with coding of programs based on system enhancements modification requests or new design specifications
Support the activities of assigned projects and ensure tasks are performed with efficiency and quality
Identify monitor and conduct testing to assess conformity of design to specifications resolving requirements and design conflicts
Minimum Qualifications:
Bachelor's degree with major course work in computer science MIS or a related field is required. Equivalent work experience in a similar position may be substituted for education requirements.
Typical candidate will have 0-2 years of experience in software engineering system administration programming and/or a related field. Certifications and/or educational experience may count towards experience."
Data Prime,Software Engineer,"You will be responsible for the development of serverless web applications designing and implementing both the frontend data models and the user interfaces. You’ll be expected to develop working prototypes and launch to production in short periods of time.
Collaborate with Cover’s multi-disciplinary team of software engineers aerospace and automotive mechanical engineers architects and operations marketing design and construction professionals to solve a wide range of problems.
Take on a wide variety of projects impacting different parts of the business creating the crucial internal interfaces needed to efficiently design manufacture and assemble Cover homes.
Qualifications
At least 6 months experience writing and launching complex web applications
Experience building animated graphic applications on the web using SVG and/or Canvas preferred
Experience with at least one of the common frameworks: Vue.js Angular or React. Vue.js preferred
Experience designing REST-based API services a plus
Strong familiarity of the Javascript language
Strong familiarity of CSS3 styling and animation and an eye for designing beautiful responsive web interfaces without the aid of a dedicated UX designer.
Strong CS fundamentals
Can produce working code quickly without sacrificing quality.
BS/MS in computer science or related field preferred
Experience in related industries such as manufacturing or construction strongly preferred
Strong verbal and written communication
Can-do get-it-done attitude"
Numerica Corporation,Software Engineer,"Contribute to the direction of a small team with your expertise and ideas;
Prototype state-of-the-art software solutions in an agile development environment;
Implement high-performance software spanning the spectrum from tactical systems to web applications;
Use high-fidelity modeling and simulation environments innovative analysis tools and sound analysis techniques to quantify the benefit of our technology;
Engage with our customers to ensure successful outcomes for their mission-critical needs;
Work with all aspects of the software development lifecycle;
Help your colleagues and customers understand what you’re doing and why.
Recommended Background and Experience
A Software Engineer at Numerica should possess a B.S. M.S. or Ph.D. in Computer Science Applied or Computational Mathematics Electrical Engineering Aerospace Engineering Controls and Dynamical Systems Statistics and Probability or a closely related field. A Software Engineer should have a record of academic excellence including demonstrated experience in one or more of the following areas:
Software engineering: software design algorithm implementation and software analysis testing and optimization;
Machine learning: supervised and unsupervised learning clustering and classification;
Applied mathematics: differential equations linear algebra optimization statistics and random processes;
Engineering: controls estimation theory and digital signal processing.
A Software Engineer should also have proven expertise in some of the following languages and technologies:
C/C++ Python and Matlab;
Big data/NoSQL/database technologies;
AngularJS Node.js Javascript and full-stack web development.
A Software Engineer should have effective written and verbal communication skills with the ability to convey salient details about advanced technology in a compelling manner to both experts and non-experts alike."
Northrup Grumman,Software Quality Assurance Engineer,"Engineer Software Quality Assurance will be responsible for one or more software development teams (IPTs) on the GBSD or other SDS programs. Our focus is on ensuring process execution and efficiencies in the development testing and release of the software deliverables.
Roles and responsibilities:
Support individual scrum/sprint teams by attending meetings creating Jira dashboard tools to help monitor the progress and execution efficiency. Offer suggestions for improvement to software leadership.
Create process health progress and stability metrics when required
Become fluent in the use of tools; Jira Confluence Jazz DOORS or others as needed
Be a constructive advocate for Mission Assurance and relentlessly articulate our Value Proposition to our stakeholders
Ensure GBSD software is in compliance with industry guidelines and contractual requirements for development of military weapon systems. Maintain a keen focus on employee engagement teaming and collaboration process improvement rework reduction and continuous improvement"
